time,x,y,z
0.081,1.49315,-0.14856,1.21729
0.082,1.51138,0.124019,1.2329
0.082,1.51054,-0.148784,1.22131
0.083,1.52876,0.123795,1.23692
0.083,1.52791,-0.149008,1.22533
0.084,1.54612,0.12357,1.24094
0.084,1.54526,-0.149234,1.22937
0.085,1.56346,0.123344,1.24498
0.085,1.5626,-0.14946,1.23341
0.086,1.58079,0.123117,1.24903
0.086,1.57992,-0.149687,1.23747
0.087,1.5981,0.122889,1.25308
0.087,1.59722,-0.149915,1.24153
0.088,1.61539,0.122661,1.25715
0.088,1.6145,-0.150143,1.2456
0.089,1.63267,0.122432,1.26122
0.089,1.63177,-0.150372,1.24969
0.09,1.64992,0.122203,1.26531
0.09,1.64902,-0.150602,1.25378
0.091,1.66716,0.121972,1.2694
0.091,1.66625,-0.150833,1.25787
0.092,1.68439,0.121741,1.2735
0.092,1.68346,-0.151064,1.26198
0.093,1.70159,0.121509,1.2776
0.093,1.70066,-0.151296,1.26609
0.094,1.71878,0.121277,1.28172
0.094,1.71784,-0.151529,1.27021
0.095,1.73595,0.121044,1.28584
0.095,1.735,-0.151762,1.27434
0.096,1.7531,0.12081,1.28997
0.096,1.75215,-0.151996,1.27847
0.097,1.77024,0.120576,1.2941
0.097,1.76928,-0.152231,1.28261
0.098,1.78736,0.120341,1.29825
0.098,1.78639,-0.152466,1.28675
0.099,1.80447,0.120105,1.30239
0.099,1.80349,-0.152701,1.2909
0.1,1.82155,0.119869,1.30655
0.1,1.82057,-0.152938,1.29506
0.101,1.83863,0.119632,1.31071
0.101,1.83764,-0.153175,1.29922
0.102,1.85568,0.119395,1.31487
0.102,1.85469,-0.153412,1.30339
0.103,1.87272,0.119157,1.31904
0.103,1.87172,-0.15365,1.30756
0.104,1.88975,0.118918,1.32322
0.104,1.88874,-0.153889,1.31173
0.105,1.90675,0.118679,1.3274
0.105,1.90574,-0.154128,1.31591
0.106,1.92374,0.118439,1.33158
0.106,1.92272,-0.154367,1.3201
0.107,1.94072,0.118199,1.33577
0.107,1.93969,-0.154608,1.32429
0.108,1.95768,0.117958,1.33996
0.108,1.95664,-0.154848,1.32848
0.109,1.97463,0.117717,1.34416
0.109,1.97358,-0.155089,1.33268
0.11,1.99156,0.117475,1.34836
0.11,1.99051,-0.155331,1.33688
0.111,2.00847,0.117233,1.35256
0.111,2.00741,-0.155573,1.34108
0.112,2.02537,0.11699,1.35677
0.112,2.0243,-0.155816,1.34529
0.113,2.04225,0.116747,1.36098
0.113,2.04118,-0.156059,1.3495
0.114,2.05912,0.116503,1.3652
0.114,2.05804,-0.156303,1.35371
0.115,2.07597,0.116259,1.36941
0.115,2.07489,-0.156547,1.35792
0.116,2.09281,0.116015,1.37363
0.116,2.09172,-0.156791,1.36214
0.117,2.10963,0.115769,1.37786
0.117,2.10854,-0.157036,1.36636
0.118,2.12644,0.115524,1.38208
0.118,2.12534,-0.157282,1.37058
0.119,2.14323,0.115278,1.38631
0.119,2.14213,-0.157528,1.37481
0.12,2.16001,0.115031,1.39054
0.12,2.1589,-0.157774,1.37903
0.121,2.17677,0.114784,1.39477
0.121,2.17565,-0.158021,1.38326
0.122,2.19352,0.114537,1.399
0.122,2.1924,-0.158268,1.38749
0.123,2.21025,0.114289,1.40324
0.123,2.20913,-0.158516,1.39172
0.124,2.22697,0.114041,1.40747
0.124,2.22584,-0.158764,1.39596
0.125,2.24368,0.113792,1.41171
0.125,2.24254,-0.159012,1.40019
0.126,2.26037,0.113543,1.41595
0.126,2.25922,-0.159261,1.40442
0.127,2.27704,0.113294,1.42019
0.127,2.27589,-0.15951,1.40866
0.128,2.29371,0.113044,1.42443
0.128,2.29255,-0.15976,1.4129
0.129,2.31035,0.112794,1.42868
0.129,2.30919,-0.16001,1.41714
0.13,2.32699,0.112543,1.43292
0.13,2.32582,-0.16026,1.42137
0.131,2.3436,0.112292,1.43717
0.131,2.34243,-0.160511,1.42561
0.132,2.36021,0.112041,1.44141
0.132,2.35903,-0.160762,1.42985
0.133,2.3768,0.111789,1.44566
0.133,2.37562,-0.161014,1.43409
0.134,2.39338,0.111537,1.4499
0.134,2.39219,-0.161265,1.43833
0.135,2.40994,0.111284,1.45415
0.135,2.40874,-0.161518,1.44257
0.136,2.42649,0.111031,1.45839
0.136,2.42529,-0.16177,1.44681
0.137,2.44302,0.110778,1.46264
0.137,2.44182,-0.162023,1.45105
0.138,2.45954,0.110525,1.46689
0.138,2.45833,-0.162277,1.45529
0.139,2.47605,0.110271,1.47114
0.139,2.47483,-0.16253,1.45954
0.14,2.49254,0.110016,1.47538
0.14,2.49132,-0.162784,1.46378
0.141,2.50902,0.109762,1.47963
0.141,2.5078,-0.163039,1.46802
0.142,2.52549,0.109507,1.48387
0.142,2.52426,-0.163293,1.47225
0.143,2.54194,0.109251,1.48812
0.143,2.5407,-0.163548,1.47649
0.144,2.55838,0.108996,1.49237
0.144,2.55714,-0.163804,1.48073
0.145,2.57481,0.10874,1.49661
0.145,2.57356,-0.164059,1.48497
0.146,2.59122,0.108483,1.50085
0.146,2.58997,-0.164315,1.48921
0.147,2.60762,0.108226,1.5051
0.147,2.60636,-0.164572,1.49344
0.148,2.624,0.107969,1.50934
0.148,2.62274,-0.164828,1.49768
0.149,2.64037,0.107712,1.51358
0.149,2.6391,-0.165085,1.50191
0.15,2.65673,0.107454,1.51782
0.15,2.65546,-0.165343,1.50615
0.151,2.67307,0.107197,1.52206
0.151,2.6718,-0.1656,1.51038
0.152,2.68941,0.106938,1.5263
0.152,2.68812,-0.165858,1.51461
0.153,2.70572,0.10668,1.53054
0.153,2.70444,-0.166116,1.51884
0.154,2.72203,0.106421,1.53478
0.154,2.72074,-0.166375,1.52307
0.155,2.73832,0.106162,1.53901
0.155,2.73702,-0.166634,1.5273
0.156,2.7546,0.105902,1.54325
0.156,2.7533,-0.166893,1.53152
0.157,2.77087,0.105642,1.54748
0.157,2.76956,-0.167152,1.53575
0.158,2.78712,0.105382,1.55171
0.158,2.78581,-0.167412,1.53997
0.159,2.80336,0.105122,1.55594
0.159,2.80204,-0.167672,1.54419
0.16,2.81959,0.104861,1.56017
0.16,2.81826,-0.167932,1.54841
0.161,2.8358,0.1046,1.5644
0.161,2.83447,-0.168193,1.55263
0.162,2.852,0.104339,1.56863
0.162,2.85067,-0.168454,1.55685
0.163,2.86819,0.104077,1.57285
0.163,2.86685,-0.168715,1.56106
0.164,2.88436,0.103815,1.57707
0.164,2.88302,-0.168977,1.56528
0.165,2.90053,0.103553,1.58129
0.165,2.89918,-0.169238,1.56949
0.166,2.91667,0.103291,1.58551
0.166,2.91532,-0.1695,1.5737
0.167,2.93281,0.103028,1.58973
0.167,2.93146,-0.169763,1.57791
0.168,2.94894,0.102765,1.59395
0.168,2.94758,-0.170025,1.58211
0.169,2.96505,0.102502,1.59816
0.169,2.96368,-0.170288,1.58632
0.17,2.98115,0.102238,1.60237
0.17,2.97978,-0.170551,1.59052
0.171,2.99723,0.101974,1.60658
0.171,2.99586,-0.170815,1.59472
0.172,3.0133,0.10171,1.61079
0.172,3.01192,-0.171079,1.59892
0.173,3.02937,0.101446,1.61499
0.173,3.02798,-0.171343,1.60312
0.174,3.04541,0.101181,1.6192
0.174,3.04402,-0.171607,1.60731
0.175,3.06145,0.100916,1.6234
0.175,3.06005,-0.171871,1.6115
0.176,3.07747,0.100651,1.6276
0.176,3.07607,-0.172136,1.61569
0.177,3.09348,0.100385,1.63179
0.177,3.09208,-0.172401,1.61988
0.178,3.10948,0.10012,1.63599
0.178,3.10807,-0.172666,1.62406
0.179,3.12547,0.0998535,1.64018
0.179,3.12405,-0.172932,1.62825
0.18,3.14144,0.0995873,1.64437
0.18,3.14002,-0.173198,1.63243
0.181,3.1574,0.0993207,1.64856
