time,x,y,z
0.082,1.57098,0.13656,1.10882
0.082,1.57097,-0.13649,1.10897
0.083,1.58944,0.13656,1.11076
0.083,1.58943,-0.13649,1.11091
0.084,1.60788,0.136561,1.1127
0.084,1.60788,-0.136489,1.11285
0.085,1.62631,0.136562,1.11465
0.085,1.62631,-0.136488,1.1148
0.086,1.64472,0.136563,1.1166
0.086,1.64472,-0.136487,1.11675
0.087,1.66312,0.136564,1.11856
0.087,1.66312,-0.136486,1.11871
0.088,1.68151,0.136565,1.12052
0.088,1.6815,-0.136485,1.12067
0.089,1.69988,0.136566,1.12249
0.089,1.69988,-0.136484,1.12263
0.09,1.71823,0.136567,1.12446
0.09,1.71823,-0.136483,1.1246
0.091,1.73658,0.136568,1.12643
0.091,1.73657,-0.136482,1.12657
0.092,1.7549,0.136569,1.12841
0.092,1.7549,-0.136481,1.12855
0.093,1.77322,0.13657,1.13039
0.093,1.77322,-0.13648,1.13053
0.094,1.79152,0.136571,1.13237
0.094,1.79152,-0.136479,1.13251
0.095,1.8098,0.136572,1.13436
0.095,1.8098,-0.136478,1.1345
0.096,1.82807,0.136573,1.13635
0.096,1.82807,-0.136477,1.13649
0.097,1.84633,0.136574,1.13834
0.097,1.84633,-0.136476,1.13848
0.098,1.86457,0.136575,1.14034
0.098,1.86457,-0.136475,1.14048
0.099,1.8828,0.136576,1.14234
0.099,1.8828,-0.136474,1.14248
0.1,1.90102,0.136577,1.14434
0.1,1.90102,-0.136473,1.14448
0.101,1.91922,0.136578,1.14634
0.101,1.91922,-0.136472,1.14648
0.102,1.9374,0.136579,1.14835
0.102,1.93741,-0.136471,1.14849
0.103,1.95558,0.13658,1.15036
0.103,1.95558,-0.13647,1.15049
0.104,1.97374,0.136581,1.15237
0.104,1.97374,-0.136469,1.1525
0.105,1.99188,0.136582,1.15438
0.105,1.99188,-0.136468,1.15451
0.106,2.01001,0.136583,1.1564
0.106,2.01002,-0.136467,1.15653
0.107,2.02813,0.136584,1.15841
0.107,2.02813,-0.136466,1.15854
0.108,2.04624,0.136585,1.16043
0.108,2.04624,-0.136465,1.16056
0.109,2.06433,0.136586,1.16245
0.109,2.06433,-0.136464,1.16258
0.11,2.08241,0.136587,1.16447
0.11,2.08241,-0.136463,1.1646
0.111,2.10047,0.136588,1.1665
0.111,2.10047,-0.136462,1.16662
0.112,2.11852,0.136589,1.16852
0.112,2.11852,-0.136461,1.16865
0.113,2.13656,0.13659,1.17055
0.113,2.13656,-0.13646,1.17067
0.114,2.15458,0.136591,1.17257
0.114,2.15458,-0.136459,1.1727
0.115,2.17259,0.136592,1.1746
0.115,2.17259,-0.136458,1.17473
0.116,2.19058,0.136593,1.17663
0.116,2.19059,-0.136457,1.17675
0.117,2.20857,0.136595,1.17866
0.117,2.20857,-0.136455,1.17878
0.118,2.22654,0.136596,1.18069
0.118,2.22654,-0.136454,1.18081
0.119,2.24449,0.136597,1.18273
0.119,2.24449,-0.136453,1.18284
0.12,2.26243,0.136598,1.18476
0.12,2.26244,-0.136452,1.18488
0.121,2.28036,0.136599,1.18679
0.121,2.28037,-0.136451,1.18691
0.122,2.29828,0.1366,1.18883
0.122,2.29828,-0.13645,1.18894
0.123,2.31618,0.136601,1.19086
0.123,2.31619,-0.136449,1.19098
0.124,2.33407,0.136602,1.1929
0.124,2.33408,-0.136448,1.19301
0.125,2.35195,0.136603,1.19493
0.125,2.35195,-0.136447,1.19505
0.126,2.36981,0.136605,1.19697
0.126,2.36982,-0.136445,1.19708
0.127,2.38766,0.136606,1.19901
0.127,2.38767,-0.136444,1.19912
0.128,2.4055,0.136607,1.20104
0.128,2.4055,-0.136443,1.20115
0.129,2.42332,0.136608,1.20308
0.129,2.42333,-0.136442,1.20319
0.13,2.44113,0.136609,1.20512
0.13,2.44114,-0.136441,1.20522
0.131,2.45893,0.13661,1.20715
0.131,2.45894,-0.13644,1.20726
0.132,2.47672,0.136611,1.20919
