time,x,y,z
0.071,1.32803,-0.136534,2.38756
0.072,1.34552,0.136516,2.40664
0.072,1.34574,-0.136534,2.40643
0.073,1.36321,0.136516,2.42549
0.073,1.36343,-0.136534,2.42528
0.074,1.38088,0.136515,2.44432
0.074,1.3811,-0.136535,2.44411
0.075,1.39852,0.136515,2.46313
0.075,1.39874,-0.136535,2.46292
0.076,1.41614,0.136514,2.48192
0.076,1.41637,-0.136535,2.4817
0.077,1.43373,0.136514,2.50069
0.077,1.43397,-0.136536,2.50047
0.078,1.45131,0.136514,2.51944
0.078,1.45155,-0.136536,2.51921
0.079,1.46886,0.136513,2.53816
0.079,1.46911,-0.136537,2.53793
0.08,1.48639,0.136513,2.55687
0.08,1.48664,-0.136537,2.55663
0.081,1.5039,0.136512,2.57555
0.081,1.50415,-0.136538,2.57531
0.082,1.52139,0.136512,2.59421
0.082,1.52165,-0.136538,2.59397
0.083,1.53886,0.136511,2.61286
0.083,1.53912,-0.136538,2.61261
0.084,1.5563,0.136511,2.63148
0.084,1.55656,-0.136539,2.63122
0.085,1.57372,0.13651,2.65007
0.085,1.57399,-0.136539,2.64982
0.086,1.59112,0.13651,2.66865
0.086,1.5914,-0.13654,2.66839
0.087,1.6085,0.136509,2.68721
0.087,1.60878,-0.13654,2.68694
0.088,1.62586,0.136509,2.70574
0.088,1.62614,-0.136541,2.70547
0.089,1.6432,0.136508,2.72426
0.089,1.64348,-0.136541,2.72398
0.09,1.66052,0.136508,2.74275
0.09,1.6608,-0.136542,2.74247
0.091,1.67781,0.136507,2.76122
0.091,1.6781,-0.136543,2.76094
0.092,1.69509,0.136507,2.77967
0.092,1.69538,-0.136543,2.77939
0.093,1.71234,0.136506,2.7981
0.093,1.71264,-0.136544,2.79781
0.094,1.72957,0.136505,2.81651
0.094,1.72988,-0.136544,2.81622
0.095,1.74678,0.136505,2.8349
0.095,1.74709,-0.136545,2.8346
0.096,1.76398,0.136504,2.85326
0.096,1.76429,-0.136545,2.85296
0.097,1.78115,0.136504,2.87161
0.097,1.78146,-0.136546,2.8713
0.098,1.7983,0.136503,2.88993
0.098,1.79862,-0.136547,2.88962
0.099,1.81543,0.136502,2.90823
0.099,1.81575,-0.136547,2.90792
0.1,1.83253,0.136502,2.92651
0.1,1.83286,-0.136548,2.9262
0.101,1.84962,0.136501,2.94477
0.101,1.84996,-0.136549,2.94445
0.102,1.86669,0.1365,2.96301
0.102,1.86703,-0.136549,2.96269
0.103,1.88374,0.1365,2.98123
0.103,1.88408,-0.13655,2.9809
0.104,1.90077,0.136499,2.99943
0.104,1.90111,-0.136551,2.9991
0.105,1.91777,0.136498,3.0176
0.105,1.91812,-0.136551,3.01727
0.106,1.93476,0.136498,3.03576
0.106,1.93511,-0.136552,3.03542
0.107,1.95173,0.136497,3.05389
0.107,1.95209,-0.136553,3.05355
0.108,1.96868,0.136496,3.07201
0.108,1.96904,-0.136553,3.07166
0.109,1.9856,0.136495,3.0901
0.109,1.98597,-0.136554,3.08975
0.11,2.00251,0.136495,3.10817
0.11,2.00288,-0.136555,3.10782
0.111,2.0194,0.136494,3.12622
0.111,2.01977,-0.136556,3.12586
0.112,2.03627,0.136493,3.14425
0.112,2.03664,-0.136557,3.14389
0.113,2.05312,0.136492,3.16226
0.113,2.0535,-0.136557,3.16189
0.114,2.06995,0.136491,3.18025
0.114,2.07033,-0.136558,3.17988
0.115,2.08675,0.13649,3.19822
0.115,2.08714,-0.136559,3.19784
0.116,2.10354,0.13649,3.21616
0.116,2.10393,-0.13656,3.21578
0.117,2.12031,0.136489,3.23409
0.117,2.12071,-0.136561,3.23371
0.118,2.13706,0.136488,3.25199
0.118,2.13746,-0.136562,3.25161
0.119,2.15379,0.136487,3.26988
0.119,2.1542,-0.136562,3.26949
0.12,2.17051,0.136486,3.28774
0.12,2.17091,-0.136563,3.28735
0.121,2.1872,0.136485,3.30559
0.121,2.18761,-0.136564,3.30519
0.122,2.20387,0.136484,3.32341
0.122,2.20429,-0.136565,3.32301
0.123,2.22053,0.136483,3.34121
0.123,2.22094,-0.136566,3.3408
0.124,2.23716,0.136482,3.35899
0.124,2.23758,-0.136567,3.35858
0.125,2.25378,0.136481,3.37675
0.125,2.2542,-0.136568,3.37634
0.126,2.27037,0.13648,3.39449
0.126,2.2708,-0.136569,3.39408
0.127,2.28695,0.136479,3.41221
0.127,2.28738,-0.13657,3.41179
0.128,2.30351,0.136478,3.42991
0.128,2.30394,-0.136571,3.42949
0.129,2.32005,0.136477,3.44759
0.129,2.32049,-0.136572,3.44716
0.13,2.33657,0.136476,3.46525
0.13,2.33701,-0.136573,3.46482
0.131,2.35307,0.136475,3.48289
0.131,2.35351,-0.136574,3.48245
0.132,2.36955,0.136474,3.5005
0.132,2.37,-0.136575,3.50006
0.133,2.38601,0.136473,3.5181
0.133,2.38647,-0.136576,3.51766
0.134,2.40246,0.136472,3.53568
0.134,2.40292,-0.136577,3.53523
0.135,2.41888,0.136471,3.55323
0.135,2.41935,-0.136578,3.55278
0.136,2.43529,0.13647,3.57077
0.136,2.43576,-0.136579,3.57032
0.137,2.45168,0.136469,3.58829
0.137,2.45215,-0.13658,3.58783
0.138,2.46805,0.136468,3.60578
0.138,2.46852,-0.136582,3.60532
0.139,2.4844,0.136466,3.62326
0.139,2.48488,-0.136583,3.62279
0.14,2.50073,0.136465,3.64071
0.14,2.50121,-0.136584,3.64025
0.141,2.51705,0.136464,3.65815
0.141,2.51753,-0.136585,3.65768
0.142,2.53334,0.136463,3.67556
0.142,2.53383,-0.136586,3.67509
0.143,2.54962,0.136462,3.69296
0.143,2.55011,-0.136588,3.69248
0.144,2.56588,0.13646,3.71034
0.144,2.56637,-0.136589,3.70985
0.145,2.58212,0.136459,3.72769
0.145,2.58262,-0.13659,3.7272
0.146,2.59834,0.136458,3.74503
0.146,2.59884,-0.136591,3.74454
0.147,2.61455,0.136457,3.76234
0.147,2.61505,-0.136592,3.76185
0.148,2.63073,0.136455,3.77964
0.148,2.63124,-0.136594,3.77914
0.149,2.6469,0.136454,3.79691
0.149,2.64741,-0.136595,3.79641
0.15,2.66305,0.136453,3.81417
0.15,2.66356,-0.136596,3.81366
0.151,2.67918,0.136451,3.8314
0.151,2.6797,-0.136598,3.8309
0.152,2.69529,0.13645,3.84862
0.152,2.69581,-0.136599,3.84811
0.153,2.71139,0.136449,3.86582
0.153,2.71191,-0.1366,3.8653
0.154,2.72746,0.136447,3.88299
0.154,2.72799,-0.136602,3.88247
0.155,2.74352,0.136446,3.90015
0.155,2.74406,-0.136603,3.89963
0.156,2.75956,0.136444,3.91729
0.156,2.7601,-0.136605,3.91676
0.157,2.77559,0.136443,3.9344
0.157,2.77613,-0.136606,3.93388
0.158,2.79159,0.136441,3.9515
0.158,2.79213,-0.136608,3.95097
0.159,2.80758,0.13644,3.96858
0.159,2.80812,-0.136609,3.96804
0.16,2.82355,0.136438,3.98564
0.16,2.8241,-0.13661,3.9851
0.161,2.8395,0.136437,4.00268
0.161,2.84005,-0.136612,4.00214
0.162,2.85543,0.136435,4.0197
0.162,2.85599,-0.136613,4.01915
0.163,2.87135,0.136434,4.0367
0.163,2.87191,-0.136615,4.03615
0.164,2.88725,0.136432,4.05368
0.164,2.88781,-0.136617,4.05312
0.165,2.90313,0.136431,4.07064
0.165,2.90369,-0.136618,4.07008
0.166,2.91899,0.136429,4.08758
0.166,2.91956,-0.13662,4.08702
0.167,2.93483,0.136428,4.1045
0.167,2.93541,-0.136621,4.10394
0.168,2.95066,0.136426,4.12141
0.168,2.95124,-0.136623,4.12084
0.169,2.96647,0.136424,4.13829
0.169,2.96705,-0.136625,4.13772
0.17,2.98226,0.136423,4.15515
0.17,2.98285,-0.136626,4.15458
0.171,2.99804,0.136421,4.172
0.171,2.99862,-0.136628,4.17142
0.172,3.0138,0.136419,4.18883
0.172,3.01438,-0.13663,4.18825
0.173,3.02954,0.136417,4.20563
0.173,3.03013,-0.136631,4.20505
0.174,3.04526,0.136416,4.22242
0.174,3.04585,-0.136633,4.22183
0.175,3.06096,0.136414,4.23919
0.175,3.06156,-0.136635,4.2386
0.176,3.07665,0.136412,4.25594
0.176,3.07725,-0.136636,4.25534
0.177,3.09232,0.13641,4.27267
0.177,3.09293,-0.136638,4.27207
0.178,3.10797,0.136409,4.28938
0.178,3.10858,-0.13664,4.28878
0.179,3.12361,0.136407,4.30607
0.179,3.12422,-0.136642,4.30547
0.18,3.13923,0.136405,4.32274
0.18,3.13984,-0.136644,4.32214
0.181,3.15483,0.136403,4.3394
0.181,3.15545,-0.136646,4.33879
0.182,3.17041,0.136401,4.35603
0.182,3.17104,-0.136647,4.35542
0.183,3.18598,0.136399,4.37265
0.183,3.18661,-0.136649,4.37203
0.184,3.20153,0.136397,4.38925
0.184,3.20216,-0.136651,4.38863
0.185,3.21706,0.136395,4.40583
0.185,3.21769,-0.136653,4.4052
0.186,3.23258,0.136394,4.42238
0.186,3.23321,-0.136655,4.42176
0.187,3.24808,0.136392,4.43893
0.187,3.24872,-0.136657,4.4383
0.188,3.26356,0.13639,4.45545
0.188,3.2642,-0.136659,4.45481
0.189,3.27902,0.136388,4.47195
0.189,3.27967,-0.136661,4.47132
0.19,3.29447,0.136386,4.48844
0.19,3.29512,-0.136663,4.4878
0.191,3.3099,0.136383,4.5049
0.191,3.31055,-0.136665,4.50426
0.192,3.32532,0.136381,4.52135
0.192,3.32597,-0.136667,4.5207
0.193,3.34071,0.136379,4.53778
0.193,3.34137,-0.136669,4.53713
0.194,3.35609,0.136377,4.55419
0.194,3.35675,-0.136671,4.55354
0.195,3.37146,0.136375,4.57058
0.195,3.37212,-0.136673,4.56992
0.196,3.38681,0.136373,4.58695
0.196,3.38747,-0.136675,4.58629
0.197,3.40214,0.136371,4.60331
0.197,3.4028,-0.136678,4.60264
0.198,3.41745,0.136369,4.61964
0.198,3.41812,-0.13668,4.61898
0.199,3.43274,0.136366,4.63596
0.199,3.43342,-0.136682,4.63529
0.2,3.44802,0.136364,4.65226
0.2,3.4487,-0.136684,4.65159
0.201,3.46329,0.136362,4.66854
0.201,3.46397,-0.136686,4.66787
0.202,3.47853,0.13636,4.6848
0.202,3.47922,-0.136689,4.68412
0.203,3.49376,0.136357,4.70105
0.203,3.49445,-0.136691,4.70037
0.204,3.50898,0.136355,4.71727
0.204,3.50967,-0.136693,4.71659
0.205,3.52418,0.136353,4.73348
0.205,3.52487,-0.136696,4.73279
0.206,3.53936,0.13635,4.74967
0.206,3.54005,-0.136698,4.74898
0.207,3.55452,0.136348,4.76584
0.207,3.55522,-0.1367,4.76515
0.208,3.56967,0.136346,4.78199
0.208,3.57037,-0.136703,4.78129
0.209,3.5848,0.136343,4.79813
0.209,3.5855,-0.136705,4.79743
0.21,3.59991,0.136341,4.81424
0.21,3.60062,-0.136707,4.81354
0.211,3.61501,0.136338,4.83034
0.211,3.61572,-0.13671,4.82963
0.212,3.63009,0.136336,4.84642
0.212,3.6308,-0.136712,4.84571
0.213,3.64516,0.136333,4.86248
0.213,3.64587,-0.136715,4.86177
0.214,3.66021,0.136331,4.87853
0.214,3.66092,-0.136717,4.87781
0.215,3.67524,0.136328,4.89455
0.215,3.67596,-0.13672,4.89383
0.216,3.69026,0.136326,4.91056
0.216,3.69098,-0.136722,4.90984
0.217,3.70526,0.136323,4.92655
0.217,3.70598,-0.136725,4.92582
0.218,3.72024,0.136321,4.94252
0.218,3.72097,-0.136728,4.94179
0.219,3.73521,0.136318,4.95847
0.219,3.73594,-0.13673,4.95774
0.22,3.75016,0.136315,4.97441
0.22,3.7509,-0.136733,4.97368
0.221,3.7651,0.136313,4.99033
0.221,3.76584,-0.136735,4.98959
0.222,3.78002,0.13631,5.00623
0.222,3.78076,-0.136738,5.00549
0.223,3.79492,0.136307,5.02211
0.223,3.79567,-0.136741,5.02137
0.224,3.80981,0.136304,5.03798
0.224,3.81056,-0.136743,5.03723
0.225,3.82468,0.136302,5.05382
0.225,3.82543,-0.136746,5.05308
0.226,3.83954,0.136299,5.06965
0.226,3.84029,-0.136749,5.0689
0.227,3.85438,0.136296,5.08546
0.227,3.85513,-0.136752,5.08471
0.228,3.8692,0.136293,5.10126
0.228,3.86996,-0.136755,5.1005
0.229,3.88401,0.136291,5.11703
0.229,3.88477,-0.136757,5.11627
0.23,3.8988,0.136288,5.13279
0.23,3.89956,-0.13676,5.13203
0.231,3.91358,0.136285,5.14853
0.231,3.91434,-0.136763,5.14777
0.232,3.92834,0.136282,5.16426
0.232,3.92911,-0.136766,5.16349
0.233,3.94309,0.136279,5.17996
0.233,3.94385,-0.136769,5.17919
0.234,3.95781,0.136276,5.19565
0.234,3.95858,-0.136772,5.19488
0.235,3.97253,0.136273,5.21132
0.235,3.9733,-0.136775,5.21054
0.236,3.98722,0.13627,5.22698
0.236,3.988,-0.136778,5.22619
0.237,4.00191,0.136267,5.24261
0.237,4.00268,-0.136781,5.24183
0.238,4.01657,0.136264,5.25823
0.238,4.01735,-0.136784,5.25744
0.239,4.03122,0.136261,5.27383
0.239,4.03201,-0.136787,5.27304
0.24,4.04586,0.136258,5.28941
0.24,4.04664,-0.13679,5.28862
0.241,4.06048,0.136255,5.30498
0.241,4.06126,-0.136793,5.30419
0.242,4.07508,0.136252,5.32053
0.242,4.07587,-0.136796,5.31973
0.243,4.08967,0.136248,5.33606
0.243,4.09046,-0.136799,5.33526
0.244,4.10424,0.136245,5.35158
0.244,4.10504,-0.136802,5.35077
0.245,4.1188,0.136242,5.36707
0.245,4.11959,-0.136806,5.36627
0.246,4.13334,0.136239,5.38255
0.246,4.13414,-0.136809,5.38174
0.247,4.14786,0.136236,5.39802
0.247,4.14867,-0.136812,5.3972
0.248,4.16237,0.136232,5.41346
0.248,4.16318,-0.136815,5.41265
